DieaseName,Link,GeneSymbol
A,1,BANK1
A,1,CD24
A,1,CXCR4
A,1,LARGE1
A,1,VNN2
A,1,BLK
A,1,FBXO32
A,1,RALGPS2
A,1,SKIL
A,1,CLEC12A
A,1,TSC22D3
A,1,CLK1
A,1,ABCG1
A,1,ALDH8A1
A,1,RTN4
A,1,ERO1B
A,1,SHISA2
A,1,ARID1B
A,1,OR6A2
A,1,SLC6A13
A,1,N4BP2L2
A,1,TNFRSF17
A,1,ATF2
A,1,CFL2
A,1,GNB5
A,1,YTHDC1
A,1,ZC3H14
A,1,RUFY2
A,1,LRRC37A3
A,1,EBF1
B,1,TGFB1I1
B,1,HIBADH
B,1,YME1L1
B,1,CYBB
B,1,VIM
B,1,GSN
B,1,CSGALNACT1
B,1,MLH3
B,1,CD44
B,1,RBL1
B,1,SMAD4
B,1,GATA4
B,1,WHAMMP2///WHAMMP3
B,1,CDKAL1
B,1,MYLK
B,1,PPA2
B,1,RGS1
B,1,ELL2
B,1,DOK7
B,1,ITPKB
B,1,DSE
B,1,ARSG
B,1,LRRC70///IPO11
B,1,DLEU2
B,1,DNAJC27
B,1,SOCS3
B,1,ARID2
B,1,LCP2
B,1,CLASP2
B,1,EHD4
B,1,ANKUB1
B,1,MYL12A
B,1,SFMBT2
B,1,TCTE3
B,1,ABCC3
B,1,XIST
B,1,LRRFIP1
B,1,NAIP
B,1,MAST2
B,1,UROC1
B,1,PHLDB2
B,1,PRKRA
B,1,UTRN
B,1,IL6ST
B,1,LOC100507472///PCSK6
B,1,MFAP3L
B,1,RNU6-501P
B,1,FBXO32
B,1,EDRF1
B,1,PDCD4-AS1
B,1,HECTD4
B,1,NAP1L4
B,1,MEX3C
B,1,HIST1H4H
B,1,CBY1
B,1,NID1
B,1,CCDC88C
B,1,MYBL1
B,1,GLIS3
B,1,CLCN4
B,1,IFNGR1
B,1,ADAMTS12
B,1,VTI1A
B,1,ART1
B,1,KALRN
B,1,EBF1
B,1,STON2
B,1,FBXL20
B,1,SLC9A8
B,1,DOCK9
B,1,ERICH1
B,1,DOCK1
B,1,MAPT-AS1
B,1,ANXA2R
B,1,ELAVL4
B,1,CLDN23
B,1,HFE
B,1,ZNF532
B,1,ATG16L1
B,1,HIPK1
B,1,UVSSA
B,1,NFIB
B,1,LEPROT///LEPR
B,1,FCN1
B,1,AREG
B,1,IKZF4
B,1,ETV6
B,1,LOC100288637///ARHGAP11B
C,1,LPP
C,1,RC3H2
C,1,NKTR
C,1,CLK1
C,1,N4BP2L2
C,1,RBM39
C,1,SMCHD1
C,1,CSNK1A1
C,1,ZNF226
C,1,HNRNPD
C,1,LRRFIP1
C,1,DMXL2
C,1,MIR612///NEAT1
C,1,FRYL
C,1,UGP2
C,1,CALD1
C,1,SLC35A3
C,1,BRWD1
C,1,SREK1
C,1,ATM
C,1,THAP2
C,1,CREBRF
C,1,PIK3C3
C,1,PRKD3
C,1,CREBZF
C,1,ZNF638
C,1,RAB18
C,1,ZNF638-IT1///ZNF638
C,1,ZBTB20
C,1,RB1CC1
C,1,PCMTD1
C,1,ZNF117
C,1,FAM13A
C,1,ARID4B
C,1,USP34
C,1,RFC1
C,1,MIR4680///PDCD4
C,1,PNISR
C,1,JMJD1C
C,1,SCAF11
C,1,SC5D
C,1,ZNF451
C,1,RGPD6///RGPD8///RGPD3///RGPD4///RGPD5
C,1,SH3BGRL
C,1,DENND1B
C,1,LRIG2
C,1,PNPLA8
C,1,DNAJC27
C,1,ZDHHC21
C,1,YES1
C,1,ARHGAP5
C,1,BLZF1
C,1,TRPC1
C,1,EDRF1
C,1,TRIM33
C,1,SMAD4
C,1,FBXO3
C,1,SGTB
C,1,PCNX1
C,1,RAPGEF6
C,1,MLH3
C,1,RANBP2
C,1,ZFYVE16
C,1,ICE2
C,1,PGAP1
C,1,KIAA1109
C,1,PIK3C2A
C,1,AKAP9
C,1,BCLAF1
C,1,MBNL2
C,1,SESTD1
C,1,LEPROT///LEPR
C,1,ANKRD28
C,1,MBNL1
C,1,MALAT1
C,1,EPG5
C,1,DCUN1D1
C,1,ZC3H14
C,1,STRN
C,1,METTL14
C,1,ZNF700
C,1,LOC100506639///ZNF131
C,1,MORF4L2
C,1,NAV3
C,1,SFT2D3///WDR33
C,1,DDR2
C,1,CTNNB1
C,1,ADD3
C,1,ASPH
C,1,ANKRD44
C,1,MED13L
C,1,VPS13C
C,1,IFI44
C,1,GNAQ
C,1,IL6ST
C,1,SFPQ
C,1,UBE2D3
C,1,PPP4R3B
C,1,MED6
